"_id","lorg_org_id","lorg_cat_id"
"41444","1087","2180"
"41475","523","2940"
"41485","8980","1860"
"41516","6296","2940"
"41517","10930","2940"
"41519","85","2940"
"41520","12616","1570"
"41521","12616","1590"
"41528","11229","2550"
"41531","12575","2370"
"41532","12575","3420"
"41536","6482","1110"
"41537","6482","3420"
"41545","10760","4950"
"41547","11427","4880"
"41548","11815","510"
"41549","11815","660"
"41567","10887","510"
"41568","10887","520"
"41569","10887","570"
"41570","10887","610"
"41614","10963","1310"
"41622","1693","800"
"41641","10976","1860"
"41642","3253","3070"
"41643","3253","3400"
"41644","3253","4994"
"41653","12349","740"
"41654","12348","740"
"41655","4009","740"
"41656","9256","3720"
"41657","12576","2600"
"41658","12576","2620"
"41677","12620","1120"
"41678","12620","4560"
"41682","12622","4520"
"41683","12621","1120"
"41684","12621","4560"
"41694","10789","3720"
"41719","11156","510"
"41720","11156","520"
"41768","7000","1120"
"41769","7000","4530"
"41771","12398","570"
"41772","12398","600"
"41779","12073","2840"
"41780","12073","3820"
"41786","10599","840"
"41787","10599","4560"
"41792","12395","3720"
"41809","12636","4030"
"41811","11690","3420"
"41813","2505","3720"
"41821","10792","1720"
"41839","12223","3720"
"41860","9483","2840"
"41861","9483","4220"
"41906","2081","1560"
"41973","8843","3720"
"41983","9538","1720"
"41994","11145","4140"
"41995","11575","3420"
"42001","3642","2710"
"42002","12196","940"
"42003","3745","2130"
"42008","10631","4880"
"42009","2543","3480"
"42015","12643","740"
"42018","11995","4120"
"42021","11018","4010"
"42026","12279","3730"
"42030","12429","4250"
"42047","1812","3570"
"42048","1812","4030"
"42062","1710","770"
"42063","1710","1120"
"42064","1710","2090"
"42065","1710","3810"
"42066","1710","4610"
"42067","1710","4620"
"42084","12645","720"
"42085","12645","1150"
"42086","12645","2210"
"42095","7801","4994"
"42096","7801","3070"
"42126","220","1350"
"42127","220","3560"
"42131","3017","1950"
"42147","2626","1250"
"42148","2626","3240"
"42149","2626","3500"
"42169","5782","3720"
"42186","8601","1860"
"42193","4207","3220"
"42216","10630","1860"
"42225","12259","860"
"42226","12259","1470"
"42244","11761","4950"
"42252","11404","3720"
"42255","10654","3810"
"42270","1581","510"
"42271","1581","610"
"42272","1581","612"
"42273","1581","613"
"42288","12156","2360"
"42289","12156","4610"
"42322","11457","4140"
"42323","11457","4220"
"42328","10741","1000"
"42329","10741","4520"
"42334","3652","4140"
"42349","6465","840"
"42350","6465","4500"
"42351","6465","4560"
"42352","6465","4950"
"42360","9359","840"
"42361","9359","2830"
"42386","11816","3030"
"42387","11816","3651"
"42388","11816","4340"
"42395","11785","2610"
"42396","11785","3810"
"42413","11741","1740"
"42415","11249","630"
"42416","11249","1120"
"42417","11249","2370"
"42418","11249","3040"
"42419","11249","3850"
"42420","11249","4180"
"42421","11249","4530"
"42441","276","1110"
"42442","276","1570"
"42443","276","3420"
"42444","11308","3720"
"42469","2013","4120"
"42470","5530","4120"
"42484","8885","2970"
"42491","12301","980"
"42492","12301","2970"
"42493","3298","3870"
"42507","12391","4520"
"42566","12627","1740"
"42575","11871","4640"
"42614","9649","2600"
"42615","9649","2620"
"42616","9649","2650"
"42635","11414","1760"
"42671","2853","4430"
"42702","12633","770"
"42703","809","2730"
"42704","809","3840"
"42706","11911","1110"
"42707","11911","1530"
"42708","11911","2280"
"42709","11224","4940"
"42734","11820","2370"
"42735","11820","3420"
"42736","11820","3720"
"42737","12339","940"
"42738","12339","1110"
"42739","12339","2280"
"42740","12339","2970"
"42758","11813","2540"
"42759","11813","2550"
"42760","11813","2570"
"42779","12566","2390"
"42780","12566","2990"
"42781","12566","3800"
"42782","12566","4670"
"42790","11085","2210"
"42793","7501","3430"
"42802","3085","3050"
"42803","3085","4210"
"42804","3085","4220"
"42805","3085","4560"
"42806","7897","3720"
"42812","12650","870"
"42813","12650","4220"
"42815","1039","4360"
"42823","11766","640"
"42826","10602","2160"
"42835","2903","960"
"42836","2903","2040"
"42837","2903","2330"
"42838","2903","2420"
"42839","2903","2730"
