"_id","name","org_count"
"3600","РАДИОСВЯЗЬ – СИСТЕМЫ, ОБОРУДОВАНИЕ, УСТРОЙСТВА","2"
"3630","РЕКЛАМА – В СЕТИ ИНТЕРНЕТ ","0"
"3640","РЕКЛАМА – НАРУЖНАЯ РЕКЛАМА","1"
"3650","РЕКЛАМА – ОРГАНИЗАЦИЯ И ПРОВЕДЕНИЕ РЕКЛАМНЫХ КАМПАНИЙ","0"
"3651","РЕКЛАМА – ПОЛИГРАФИЯ РЕКЛАМНАЯ","3"
"3660","РЕКЛАМА – ПРЯМАЯ ПОЧТОВАЯ РЕКЛАМА","0"
"3670","РЕКЛАМА – РАЗМЕЩЕНИЕ В СПРАВОЧНИКАХ, ГАЗЕТАХ, ЖУРНАЛАХ ","0"
"3680","РЕКЛАМА – РЕКЛАМА НА ТЕЛЕВИДЕНИИ И РАДИО","0"
"3690","РЕКЛАМА – СЫРЬЕ, МАТЕРИАЛЫ","0"
"3700","РЕКЛАМНАЯ ДЕЯТЕЛЬНОСТЬ, РЕКЛАМНЫЕ АГЕНТСТВА","1"
"3710","РЕЛИГИЯ – ОРГАНИЗАЦИИ, ЦЕРКОВНЫЕ ТОВАРЫ","0"
"3720","РЕСТОРАНЫ, БАРЫ, КАФЕ, БАНКЕТНЫЕ ЗАЛЫ","16"
"3730","РИТУАЛЬНЫЕ УСЛУГИ","3"
"3740","РОДИЛЬНЫЕ ДОМА","0"
"3750","РОСПЕЧАТЬ","0"
"3760","РЫБА – РЫБОХОЗЯЙСТВА","0"
"3770","РЫНКИ, ТОРГОВЫЕ ДОМА, ТОРГОВЫЕ ЦЕНТРЫ","2"
"3780","САДОВОДСТВО – САДОВОДЧЕСКИЕ ТОВАРИЩЕСТВА","0"
"3800","САДОВОДСТВО – СЕМЕНА, РАССАДА, ИНВЕНТАРЬ","6"
"3810","САЛОНЫ КРАСОТЫ, ПАРИКМАХЕРСКИЕ","205"
"3820","САНАТОРИИ, ПРОФИЛАКТОРИИ, ДОМА И БАЗЫ ОТДЫХА","0"
"3830","САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКИЕ СЛУЖБЫ","0"
"3840","САНТЕХНИКА – ПРОДАЖА ","53"
"3850","САНТЕХНИЧЕСКОЕ И ОТОПИТЕЛЬНОЕ ОБОРУДОВАНИЕ – МОНТАЖ","14"
"3860","СВАРОЧНОЕ ОБОРУДОВАНИЕ, ЭЛЕКТРОДЫ – ПРОДАЖА","2"
"3862","СВЯЗЬ – ТЕЛЕКОММУНИКАЦИОННЫЕ УСЛУГИ ","3"
"3870","СЕЙФЫ – ПРОДАЖА, РЕМОНТ","2"
"3890","СЕЛЬХОЗТЕХНИКА, ОБОРУДОВАНИЕ, ИНВЕНТАРЬ – ПРОДАЖА","2"
"3900","СКЛАДСКИЕ УСЛУГИ","0"
"3910","СКОРАЯ МЕДИЦИНСКАЯ ПОМОЩЬ","0"
"3930","СОТОВАЯ СВЯЗЬ","4"
"3940","СОТОВАЯ СВЯЗЬ – ОПЛАТА УСЛУГ","12"
"3950","СОТОВЫЕ ТЕЛЕФОНЫ – ПРОДАЖА, ПОДКЛЮЧЕНИЕ","61"
"3960","СОТОВЫЕ ТЕЛЕФОНЫ – РЕМОНТ","9"
"3990","СПИД – ДИАГНОСТИКА, КОНСУЛЬТАЦИИ ","0"
"4010","СПОРТИВНЫЕ И ТУРИСТИЧЕСКИЕ ТОВАРЫ – ПРОДАЖА","39"
"4020","СПОРТИВНЫЕ КОМПЛЕКСЫ, СТАДИОНЫ, ЗАЛЫ, БАССЕЙНЫ","4"
"4030","СПОРТИВНЫЕ ОБЩЕСТВА, КЛУБЫ, ФЕДЕРАЦИИ","2"
"4060","СПРАВОЧНЫЕ СЛУЖБЫ","1"
"4070","СПУТНИКОВАЯ НАВИГАЦИЯ И МОНИТОРИНГ","4"
"4080","СТАНЦИИ ПЕРЕЛИВАНИЯ КРОВИ","0"
"4090","СТЕКЛО – ПРОДАЖА","5"
"4100","СТЕКЛОИЗДЕЛИЯ, СТЕКЛОТАРА – ПРОИЗВОДСТВО ","4"
"4120","СТОМАТОЛОГИЧЕСКАЯ ПОМОЩЬ","0"
"4130","СТРАХОВАНИЕ, СТРАХОВЫЕ КОМПАНИИ","1"
"4140","СТРОИТЕЛЬНЫЕ И ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ – ПРОДАЖА","173"
"4150","СТРОИТЕЛЬНЫЕ И ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ – ПРОИЗВОДСТВО","8"
"4170","СТРОИТЕЛЬНЫЕ КОНСТРУКЦИИ – ПРОИЗВОДСТВО, ПРОДАЖА","0"
"4180","СТРОИТЕЛЬНЫЕ РАБОТЫ – ГИДРОИЗОЛЯЦИОННЫЕ И ГИДРОТЕХНИЧЕСКИЕ","2"
"4190","СТРОИТЕЛЬНЫЕ РАБОТЫ – ЗЕМЛЯНЫЕ","0"
"4200","СТРОИТЕЛЬНЫЕ РАБОТЫ – КРОВЕЛЬНЫЕ","2"
"4210","СТРОИТЕЛЬНЫЕ РАБОТЫ – МОНТАЖНЫЕ","2"
"4220","СТРОИТЕЛЬНЫЕ, СТРОИТЕЛЬНО-МОНТАЖНЫЕ ОРГАНИЗАЦИИ ","10"
"4230","СУПЕРМАРКЕТЫ, УНИВЕРСАМЫ, УНИВЕРМАГИ","44"
"4240","ТАБАЧНЫЕ ИЗДЕЛИЯ – ПРОДАЖА ","4"
"4250","ТАКСИ ЛЕГКОВЫЕ ","1"
"4260","ТАНЦЕВАЛЬНЫЕ И МУЗЫКАЛЬНЫЕ АНСАМБЛИ, ОРКЕСТРЫ","5"
"4280","ТЕАТРЫ","0"
"4290","ТЕЛЕВИДЕНИЕ И РАДИОВЕЩАНИЕ","3"
"4300","ТЕЛЕФОН – ТЕЛЕФОННАЯ СЕТЬ","0"
"4310","ТЕЛЕФОН, ТЕЛЕГРАФ – МЕЖДУГОРОДНЫЙ, МЕЖДУНАРОДНЫЙ","0"
"4330","ТЕПЛОСЕТЬ – ТЕПЛОСНАБЖЕНИЕ ","0"
"4340","ТИПОГРАФИИ","1"
"4360","ТКАНИ И ШВЕЙНАЯ ФУРНИТУРА – ПРОДАЖА ","19"
"4380","ТОВАРЫ ДЛЯ БУДУЩИХ МАТЕРЕЙ","12"
