"id_org","id_rubr"
"1373","4640"
"1373","4910"
"1376","2820"
"1376","3050"
"1376","3450"
"1376","3840"
"1376","4140"
"1376","4490"
"1376","4640"
"1378","1110"
"1378","2320"
"1378","4640"
"1378","4680"
"1379","3420"
"1383","2550"
"1383","2560"
"1386","2550"
"1386","2560"
"1387","720"
"1387","1110"
"1387","1730"
"1387","1860"
"1387","3350"
"1387","4640"
"1387","4910"
"1388","740"
"1391","2540"
"1391","4400"
"1392","4400"
"1392","4640"
"1401","4230"
"1404","4230"
"1415","3340"
"1415","4360"
"1420","3420"
"1425","2200"
"1425","3500"
"1425","4630"
"1428","3420"
"1429","4940"
"1430","4940"
"1431","3280"
"1431","3350"
"1432","3280"
"1432","3350"
"1432","4710"
"1433","4940"
"1435","4940"
"1453","500"
"1453","510"
"1508","2730"
"1508","4490"
"1579","612"
"1581","510"
"1581","610"
"1581","612"
"1581","613"
"1603","4520"
"1622","3810"
"1623","770"
"1623","3810"
"1624","3810"
"1625","3810"
"1626","3810"
"1627","3810"
"1629","3810"
"1630","3810"
"1631","3810"
"1632","3810"
"1633","3810"
"1634","3810"
"1635","3810"
"1638","3810"
"1639","3810"
"1640","740"
"1651","2200"
"1651","3420"
"1652","3400"
"1652","4260"
"1657","2540"
"1659","980"
"1659","1530"
"1659","2970"
"1659","2980"
"1671","1280"
"1671","2680"
"1682","4610"
"1687","980"
"1687","1110"
"1687","1570"
"1687","2550"
"1687","3280"
"1693","800"
"1694","1530"
"1694","2970"
"1698","4010"
"1700","740"
"1708","3410"
"1708","3810"
"1708","4620"
"1710","770"
"1710","1120"
"1710","2090"
"1710","3810"
"1710","4610"
"1710","4620"
"1805","1950"
"1805","3220"
"1805","3651"
"1806","1950"
"1806","2550"
"1806","2560"
"1806","3280"
"1813","2160"
"1813","2180"
"1813","2485"
"1823","740"
"1824","3280"
"1825","4520"
"1828","740"
"1828","2680"
"1829","740"
"1830","740"
"1832","740"
"1832","4060"
"1834","740"
"1836","740"
"1836","1170"
"1838","740"
"1840","740"
"1841","740"
"1842","740"
"1843","740"
"1847","740"
"1863","740"
"1864","740"
"1865","740"
"1868","740"
"1869","740"
"1875","740"
"1876","740"
"1877","740"
"1878","740"
"1879","740"
"1880","740"
"1881","740"
"1881","1590"
"1881","3120"
"1882","740"
"1885","740"
"1889","740"
"1891","740"
"1891","1950"
"1891","3120"
"1893","740"
"1894","740"
"1917","1590"
"1935","3810"
"1952","740"
"1952","3120"
"1953","3120"
"1955","740"
"1957","2450"
"1957","2620"
"1960","740"
"1999","740"
"2021","2680"
"2125","4230"
"2421","940"
"2421","980"
"2421","2900"
"2421","2970"
"2421","3340"
"2429","3420"
"2435","4010"
"2446","3810"
"2447","3810"
"2448","3420"
"2449","2200"
"2449","3420"
"2480","570"
"2480","610"
"2480","611"
"2480","3720"
"2480","4020"
"2515","4520"
"2518","4520"
"2519","4520"
"2521","4520"
"2550","2540"
"2550","2550"
"2552","2420"
"2552","2540"
"2552","3010"
"2566","930"
"2566","2550"
"2566","3000"
"2566","3020"
"2614","2200"
"2734","3420"
"2804","1280"
"2804","1350"
"2804","3340"
"2804","3470"
"2829","2710"
"2829","3000"
"2829","3020"
"2831","1110"
"2831","3420"
"2837","3090"
"2839","3930"
"2839","3940"
"2839","3950"
"2843","740"
"2854","770"
"2854","790"
"2854","1740"
"2854","3340"
"2860","740"
"2862","3280"
"2862","4940"
"2886","740"
"2886","830"
"2886","1110"
"2886","1530"
"2886","1950"
"2886","2280"
"2886","3340"
"2886","3420"
"2886","4230"
"2889","3810"
"2890","3810"
"2890","4994"
"2896","3020"
"2903","960"
"2903","2040"
"2903","2330"
"2903","2420"
"2903","2730"
"2903","4140"
"2903","4490"
"2903","4680"
"2906","980"
"2906","2900"
"2906","2970"
"2906","2980"
"2912","1110"
"2912","3420"
"2916","610"
"2917","3420"
"2917","4430"
"2930","4994"
"2935","1280"
"2935","2680"
"2950","940"
"2950","2280"
"2950","2970"
"2953","4520"
"2955","2280"
"2974","4430"
"2981","1530"
"2981","2900"
"2981","2970"
"2981","4010"
"2984","1110"
"2984","3420"
"2992","2420"
"2992","3000"
"2992","3010"
"2992","3020"
"3003","740"
"3004","3420"
"3007","740"
"3011","940"
"3011","2900"
"3011","2970"
"3015","2200"
"3015","3720"
"3015","4630"
"3017","1950"
"3020","1110"
